quantity,unit,category,food_type,people_fed
14.4,kg,Cooked Meal,nonveg,33
76.0,plates,Bakery,veg,92
12.7,boxes,Dairy,nonveg,100
2.1,boxes,Packaged Food,veg,26
10.3,pieces,Cooked Meal,veg,6
35.0,liters,Cooked Meal,veg,74
29.2,plates,Packaged Food,nonveg,42
139.5,pieces,Cooked Meal,nonveg,55
49.8,liters,Packaged Food,nonveg,135
53.6,pieces,Packaged Food,veg,63
36.6,liters,Cooked Meal,veg,71
29.9,liters,Bakery,veg,63
44.0,kg,Other,nonveg,111
91.1,plates,Produce,veg,96
21.4,kg,Cooked Meal,veg,54
24.2,kg,Packaged Food,nonveg,86
21.6,kg,Other,nonveg,57
95.3,plates,Cooked Meal,nonveg,84
46.0,plates,Cooked Meal,veg,41
18.7,boxes,Cooked Meal,veg,156
92.1,pieces,Bakery,nonveg,26
137.0,plates,Cooked Meal,nonveg,119
33.9,kg,Bakery,veg,89
26.6,plates,Cooked Meal,nonveg,27
32.6,kg,Other,nonveg,81
142.0,pieces,Packaged Food,nonveg,139
241.5,pieces,Cooked Meal,nonveg,116
3.8,boxes,Produce,veg,27
18.5,liters,Bakery,nonveg,33
132.4,plates,Packaged Food,nonveg,216
20.6,kg,Bakery,nonveg,64
208.5,pieces,Packaged Food,nonveg,168
35.1,kg,Bakery,veg,107
21.4,liters,Cooked Meal,veg,39
18.7,boxes,Other,veg,132
130.1,plates,Produce,veg,148
4.3,boxes,Bakery,nonveg,34
2.8,boxes,Packaged Food,veg,33
146.8,plates,Other,veg,145
132.7,pieces,Other,veg,65
25.3,boxes,Other,veg,175
6.7,plates,Dairy,veg,10
3.2,boxes,Packaged Food,veg,36
102.6,pieces,Packaged Food,veg,100
24.7,boxes,Dairy,nonveg,233
24.2,boxes,Cooked Meal,nonveg,138
294.3,pieces,Packaged Food,veg,317
20.8,kg,Other,veg,60
134.1,plates,Cooked Meal,nonveg,128
47.6,liters,Dairy,nonveg,171
17.2,boxes,Bakery,nonveg,163
108.9,plates,Dairy,nonveg,119
17.7,liters,Cooked Meal,veg,43
212.1,pieces,Other,nonveg,104
8.4,boxes,Bakery,veg,86
46.6,liters,Bakery,veg,84
228.4,pieces,Bakery,veg,99
117.0,plates,Cooked Meal,veg,97
1.2,liters,Dairy,nonveg,5
42.1,kg,Other,nonveg,83
110.9,plates,Bakery,veg,135
33.2,kg,Bakery,nonveg,84
8.9,boxes,Packaged Food,veg,100
242.4,pieces,Produce,nonveg,74
127.2,plates,Other,nonveg,132
64.3,pieces,Dairy,veg,30
25.7,liters,Produce,veg,48
229.4,pieces,Other,veg,98
26.4,boxes,Other,nonveg,183
2.2,kg,Packaged Food,veg,9
295.1,pieces,Bakery,veg,135
252.6,pieces,Other,veg,122
40.9,kg,Dairy,nonveg,136
112.6,plates,Cooked Meal,veg,103
278.3,pieces,Other,veg,135
29.0,boxes,Packaged Food,nonveg,380
125.3,plates,Bakery,nonveg,147
234.0,pieces,Other,veg,128
48.2,kg,Bakery,veg,141
59.7,plates,Other,veg,51
1.3,liters,Bakery,nonveg,3
8.5,liters,Packaged Food,veg,25
76.1,plates,Other,nonveg,72
15.6,plates,Dairy,nonveg,18
119.0,plates,Bakery,veg,123
3.7,boxes,Bakery,nonveg,35
91.6,pieces,Produce,nonveg,27
149.5,plates,Dairy,nonveg,206
22.8,kg,Cooked Meal,nonveg,37
144.0,plates,Other,veg,138
16.7,boxes,Cooked Meal,nonveg,111
26.2,kg,Produce,nonveg,42
26.2,liters,Produce,nonveg,48
31.7,liters,Cooked Meal,veg,73
7.0,boxes,Bakery,veg,81
22.7,boxes,Other,veg,195
4.6,kg,Produce,veg,10
174.6,pieces,Bakery,veg,71
13.6,boxes,Packaged Food,nonveg,164
16.5,boxes,Cooked Meal,veg,118
106.6,plates,Other,veg,93
90.5,pieces,Cooked Meal,veg,42
12.5,boxes,Produce,nonveg,68
8.7,kg,Other,nonveg,21
92.9,pieces,Dairy,veg,56
168.3,pieces,Other,veg,79
82.9,plates,Cooked Meal,nonveg,75
225.7,pieces,Cooked Meal,veg,123
28.3,plates,Packaged Food,veg,40
33.2,plates,Bakery,nonveg,40
98.5,plates,Cooked Meal,nonveg,108
79.0,pieces,Cooked Meal,veg,42
203.0,pieces,Produce,veg,70
31.4,kg,Bakery,nonveg,94
209.6,pieces,Packaged Food,nonveg,181
122.1,plates,Bakery,nonveg,144
35.9,liters,Produce,veg,70
25.4,boxes,Other,nonveg,211
11.4,boxes,Packaged Food,nonveg,144
6.1,boxes,Produce,veg,35
43.2,plates,Bakery,veg,44
44.7,kg,Other,veg,123
116.5,plates,Dairy,nonveg,120
27.6,kg,Bakery,nonveg,87
70.9,pieces,Bakery,nonveg,26
142.1,pieces,Dairy,veg,62
42.6,kg,Dairy,veg,169
22.9,liters,Dairy,veg,103
47.0,liters,Other,nonveg,137
12.4,liters,Cooked Meal,nonveg,25
20.0,liters,Other,nonveg,50
49.0,kg,Packaged Food,veg,157
175.7,pieces,Dairy,nonveg,94
33.0,liters,Dairy,nonveg,107
59.6,plates,Cooked Meal,nonveg,62
56.2,plates,Bakery,nonveg,68
77.8,plates,Packaged Food,veg,105
7.7,boxes,Bakery,veg,70
18.7,liters,Bakery,veg,37
21.3,kg,Other,veg,52
7.1,boxes,Other,nonveg,55
8.1,boxes,Bakery,veg,90
134.2,plates,Bakery,veg,180
13.7,kg,Bakery,veg,46
132.4,plates,Dairy,veg,219
68.9,pieces,Other,veg,31
41.7,liters,Packaged Food,veg,115
31.5,liters,Dairy,veg,117
181.0,pieces,Other,nonveg,83
19.9,liters,Cooked Meal,nonveg,43
18.6,boxes,Dairy,veg,176
26.5,boxes,Bakery,veg,213
27.2,boxes,Cooked Meal,veg,209
26.6,kg,Dairy,nonveg,95
28.2,boxes,Dairy,veg,260
18.1,boxes,Packaged Food,nonveg,198
66.7,plates,Other,veg,53
27.4,boxes,Produce,veg,219
6.5,boxes,Dairy,nonveg,58
26.5,kg,Other,veg,62
4.1,boxes,Produce,nonveg,28
42.9,plates,Packaged Food,nonveg,50
227.7,pieces,Dairy,nonveg,101
30.9,plates,Packaged Food,nonveg,37
117.3,plates,Produce,nonveg,103
37.6,liters,Packaged Food,veg,93
25.9,kg,Bakery,veg,82
28.3,plates,Produce,veg,29
46.4,liters,Cooked Meal,nonveg,94
13.9,kg,Packaged Food,veg,43
18.8,boxes,Other,nonveg,155
284.0,pieces,Dairy,veg,152
42.7,kg,Packaged Food,veg,126
14.9,pieces,Dairy,veg,7
102.7,plates,Bakery,veg,113
48.8,liters,Produce,veg,106
124.6,pieces,Packaged Food,nonveg,120
111.9,plates,Bakery,veg,141
55.4,plates,Produce,nonveg,52
23.3,liters,Produce,veg,46
17.2,boxes,Bakery,veg,173
284.4,pieces,Dairy,nonveg,144
105.7,plates,Dairy,nonveg,90
116.6,plates,Packaged Food,nonveg,163
15.0,boxes,Packaged Food,veg,125
32.0,kg,Produce,nonveg,69
286.9,pieces,Bakery,nonveg,105
106.6,plates,Dairy,veg,137
168.6,pieces,Packaged Food,veg,185
11.3,boxes,Bakery,nonveg,112
37.1,liters,Other,nonveg,80
11.1,liters,Bakery,nonveg,21
234.8,pieces,Dairy,veg,128
31.1,kg,Cooked Meal,nonveg,72
19.0,boxes,Cooked Meal,nonveg,119
76.2,plates,Packaged Food,nonveg,133
22.8,boxes,Produce,veg,155
24.4,kg,Bakery,nonveg,58
48.8,liters,Packaged Food,nonveg,130
50.8,plates,Other,nonveg,55
52.2,plates,Packaged Food,veg,79
166.8,pieces,Dairy,veg,84
59.3,pieces,Dairy,nonveg,31
35.3,liters,Packaged Food,nonveg,81
17.6,boxes,Produce,veg,144
36.3,liters,Dairy,veg,153
40.2,liters,Packaged Food,veg,103
40.5,liters,Other,nonveg,99
118.9,plates,Other,nonveg,123
122.5,pieces,Produce,veg,36
14.0,boxes,Produce,veg,94
111.3,pieces,Produce,nonveg,24
6.9,kg,Produce,nonveg,12
88.6,plates,Other,veg,81
203.6,pieces,Produce,nonveg,49
12.1,boxes,Packaged Food,veg,140
21.7,liters,Bakery,nonveg,47
128.1,plates,Dairy,nonveg,163
197.6,pieces,Bakery,nonveg,75
85.0,pieces,Other,nonveg,30
65.0,plates,Produce,nonveg,65
36.7,kg,Bakery,veg,94
9.2,kg,Other,veg,17
46.9,kg,Cooked Meal,veg,113
20.1,plates,Packaged Food,veg,30
33.1,liters,Dairy,veg,143
189.8,pieces,Bakery,nonveg,65
9.1,plates,Bakery,veg,10
29.3,boxes,Produce,nonveg,150
44.9,pieces,Dairy,nonveg,24
96.5,plates,Dairy,nonveg,110
80.9,plates,Other,nonveg,70
24.3,boxes,Produce,veg,157
126.6,pieces,Packaged Food,nonveg,118
15.1,liters,Dairy,nonveg,56
47.4,kg,Dairy,nonveg,172
240.0,pieces,Packaged Food,veg,241
126.5,pieces,Dairy,veg,56
7.4,boxes,Bakery,nonveg,65
16.0,boxes,Cooked Meal,veg,135
196.3,pieces,Other,nonveg,76
60.5,pieces,Dairy,nonveg,29
8.9,boxes,Cooked Meal,nonveg,67
10.3,boxes,Dairy,veg,110
14.8,liters,Cooked Meal,veg,41
7.8,boxes,Bakery,veg,84
23.8,boxes,Produce,nonveg,171
210.6,pieces,Packaged Food,nonveg,203
39.0,kg,Bakery,nonveg,109
31.3,plates,Cooked Meal,nonveg,31
48.8,kg,Packaged Food,veg,161
38.8,liters,Other,nonveg,73
37.0,liters,Cooked Meal,nonveg,80
73.6,plates,Cooked Meal,veg,70
37.5,liters,Produce,veg,68
41.7,plates,Dairy,veg,51
12.6,liters,Cooked Meal,veg,26
54.4,pieces,Packaged Food,veg,54
29.5,kg,Bakery,veg,94
11.8,boxes,Other,veg,100
140.0,plates,Cooked Meal,nonveg,134
18.4,kg,Other,veg,50
12.4,liters,Cooked Meal,nonveg,28
221.3,pieces,Dairy,nonveg,114
45.0,liters,Other,nonveg,105
16.7,boxes,Packaged Food,nonveg,156
221.1,pieces,Dairy,nonveg,103
15.0,plates,Produce,veg,16
70.8,plates,Produce,nonveg,71
111.4,plates,Other,nonveg,115
51.5,plates,Produce,veg,46
32.5,plates,Cooked Meal,nonveg,27
51.8,plates,Bakery,nonveg,47
33.4,pieces,Other,veg,16
10.9,liters,Bakery,veg,21
2.6,liters,Packaged Food,veg,7
12.1,plates,Packaged Food,nonveg,15
6.9,plates,Bakery,veg,10
11.5,boxes,Cooked Meal,veg,84
24.0,boxes,Other,nonveg,204
41.9,kg,Dairy,veg,178
6.0,liters,Cooked Meal,veg,13
87.7,plates,Bakery,veg,118
113.2,plates,Bakery,nonveg,127
26.6,boxes,Other,nonveg,165
25.7,liters,Bakery,nonveg,43
27.2,boxes,Dairy,nonveg,197
126.6,pieces,Dairy,nonveg,49
86.7,plates,Produce,veg,72
11.4,boxes,Bakery,nonveg,74
30.2,kg,Cooked Meal,nonveg,76
1.3,liters,Dairy,nonveg,5
46.0,kg,Produce,nonveg,84
18.7,plates,Dairy,veg,23
73.7,pieces,Produce,veg,22
28.9,kg,Produce,nonveg,54
15.2,boxes,Produce,veg,111
91.3,plates,Other,veg,86
23.6,boxes,Dairy,veg,252
127.9,pieces,Produce,nonveg,41
96.9,plates,Bakery,veg,95
9.8,boxes,Other,veg,90
50.2,pieces,Bakery,veg,21
22.8,boxes,Other,nonveg,160
48.7,pieces,Packaged Food,nonveg,44
29.0,kg,Produce,nonveg,60
23.4,boxes,Cooked Meal,nonveg,179
28.4,liters,Bakery,nonveg,43
40.1,plates,Bakery,veg,49
20.9,boxes,Produce,nonveg,128
11.1,boxes,Packaged Food,nonveg,119
232.1,pieces,Produce,veg,73
68.9,plates,Packaged Food,veg,113
8.6,liters,Bakery,nonveg,16
47.5,kg,Other,veg,113
106.3,pieces,Bakery,veg,44
11.2,kg,Packaged Food,nonveg,33
27.8,liters,Dairy,veg,111
19.5,liters,Dairy,veg,66
42.0,plates,Other,veg,45
12.7,plates,Other,nonveg,12
20.0,kg,Other,veg,48
10.6,pieces,Other,veg,7
29.4,boxes,Other,veg,191
6.4,boxes,Produce,veg,44
2.2,boxes,Dairy,veg,22
1.5,boxes,Packaged Food,veg,17
189.4,pieces,Other,nonveg,90
189.6,pieces,Dairy,veg,126
12.1,kg,Packaged Food,nonveg,36
26.5,kg,Bakery,nonveg,80
65.5,plates,Other,veg,58
70.1,plates,Produce,nonveg,61
29.5,liters,Bakery,veg,57
131.9,pieces,Bakery,veg,49
51.0,plates,Bakery,veg,44
42.1,liters,Cooked Meal,nonveg,76
44.1,kg,Bakery,nonveg,109
234.8,pieces,Packaged Food,veg,250
2.3,liters,Cooked Meal,veg,6
91.5,plates,Dairy,veg,117
4.9,kg,Bakery,nonveg,14
6.3,boxes,Dairy,nonveg,49
5.0,boxes,Packaged Food,nonveg,56
70.7,pieces,Cooked Meal,nonveg,33
4.2,liters,Other,veg,14
26.1,boxes,Dairy,nonveg,183
23.5,boxes,Bakery,nonveg,179
185.4,pieces,Other,nonveg,73
80.5,plates,Other,veg,63
49.2,liters,Cooked Meal,nonveg,106
79.8,plates,Cooked Meal,nonveg,72
26.6,boxes,Produce,nonveg,167
13.3,boxes,Produce,veg,90
41.7,liters,Dairy,nonveg,149
9.8,kg,Packaged Food,veg,27
21.3,liters,Dairy,nonveg,68
23.2,kg,Packaged Food,veg,98
16.9,kg,Packaged Food,nonveg,46
5.5,liters,Other,veg,13
110.4,plates,Cooked Meal,nonveg,85
59.9,plates,Dairy,veg,66
28.5,plates,Produce,veg,32
21.6,liters,Bakery,veg,40
39.7,pieces,Packaged Food,veg,47
31.5,liters,Bakery,veg,63
93.2,plates,Packaged Food,veg,158
29.9,liters,Packaged Food,veg,79
40.5,plates,Cooked Meal,veg,41
19.4,pieces,Dairy,veg,11
33.7,liters,Cooked Meal,veg,85
276.5,pieces,Dairy,nonveg,142
30.9,liters,Bakery,nonveg,59
145.1,plates,Other,veg,145
16.8,kg,Cooked Meal,nonveg,34
42.3,kg,Packaged Food,nonveg,153
160.5,pieces,Cooked Meal,nonveg,78
31.0,liters,Dairy,veg,143
75.1,plates,Other,veg,84
66.9,plates,Other,nonveg,65
139.4,plates,Dairy,nonveg,154
80.4,plates,Dairy,nonveg,87
107.7,plates,Bakery,veg,116
2.2,kg,Bakery,veg,6
65.0,plates,Bakery,nonveg,69
8.3,pieces,Produce,veg,3
154.5,pieces,Cooked Meal,nonveg,78
34.6,kg,Produce,veg,62
10.5,kg,Dairy,veg,49
24.1,boxes,Produce,nonveg,142
14.4,boxes,Other,nonveg,94
28.7,kg,Packaged Food,nonveg,86
40.2,liters,Cooked Meal,nonveg,70
14.7,kg,Produce,veg,39
87.8,plates,Other,veg,94
43.4,liters,Packaged Food,veg,130
21.3,kg,Produce,nonveg,32
23.1,liters,Packaged Food,nonveg,69
19.3,liters,Produce,veg,38
22.7,liters,Cooked Meal,veg,57
17.7,liters,Dairy,veg,72
117.5,plates,Packaged Food,nonveg,187
36.5,liters,Dairy,veg,174
1.1,boxes,Packaged Food,veg,15
23.9,kg,Dairy,nonveg,81
2.1,kg,Cooked Meal,nonveg,5
61.8,pieces,Bakery,veg,20
117.1,plates,Produce,nonveg,103
9.5,pieces,Bakery,veg,3
35.0,plates,Dairy,veg,43
55.5,pieces,Bakery,veg,24
83.4,plates,Produce,nonveg,79
19.8,kg,Other,veg,50
6.2,boxes,Cooked Meal,nonveg,40
10.1,boxes,Other,nonveg,68
146.2,plates,Bakery,veg,176
5.8,kg,Bakery,nonveg,14
7.7,boxes,Produce,nonveg,52
120.7,pieces,Dairy,nonveg,69
138.7,pieces,Other,nonveg,72
25.5,boxes,Produce,nonveg,168
154.8,pieces,Produce,veg,39
238.8,pieces,Cooked Meal,veg,132
18.1,boxes,Dairy,nonveg,151
2.9,boxes,Bakery,nonveg,29
118.7,plates,Bakery,nonveg,106
33.5,liters,Dairy,veg,145
21.6,plates,Cooked Meal,nonveg,18
9.9,boxes,Cooked Meal,veg,74
34.6,kg,Packaged Food,veg,99
3.6,boxes,Produce,veg,22
114.8,plates,Bakery,veg,128
6.7,boxes,Produce,nonveg,38
173.2,pieces,Other,nonveg,87
176.9,pieces,Packaged Food,veg,168
127.9,plates,Dairy,nonveg,157
35.5,kg,Dairy,veg,137
43.4,kg,Produce,nonveg,81
124.8,pieces,Packaged Food,nonveg,136
101.1,plates,Packaged Food,veg,140
50.5,pieces,Packaged Food,nonveg,47
1.6,liters,Other,veg,4
3.5,boxes,Packaged Food,veg,40
26.9,boxes,Other,nonveg,180
26.0,liters,Dairy,nonveg,71
11.3,boxes,Dairy,nonveg,100
21.7,boxes,Dairy,veg,225
2.0,boxes,Produce,nonveg,15
48.1,kg,Produce,nonveg,91
23.8,liters,Cooked Meal,nonveg,59
31.9,liters,Cooked Meal,nonveg,72
31.0,kg,Other,nonveg,80
15.9,boxes,Cooked Meal,nonveg,107
66.0,plates,Packaged Food,nonveg,110
35.1,liters,Produce,veg,67
23.1,pieces,Dairy,nonveg,10
89.6,pieces,Cooked Meal,veg,45
42.7,liters,Cooked Meal,veg,93
9.2,pieces,Produce,nonveg,3
137.0,plates,Cooked Meal,veg,135
39.3,liters,Produce,nonveg,60
24.2,boxes,Bakery,veg,259
42.0,liters,Cooked Meal,veg,85
20.2,boxes,Packaged Food,veg,240
194.5,pieces,Dairy,veg,90
23.7,kg,Cooked Meal,veg,51
34.5,liters,Dairy,nonveg,130
5.2,boxes,Packaged Food,nonveg,58
28.9,boxes,Packaged Food,nonveg,315
46.0,kg,Other,veg,93
53.6,plates,Packaged Food,nonveg,57
33.1,kg,Produce,nonveg,51
26.5,liters,Other,veg,75
27.8,liters,Other,nonveg,57
16.2,boxes,Cooked Meal,veg,104
7.4,boxes,Other,nonveg,54
13.2,plates,Cooked Meal,veg,14
35.7,liters,Dairy,veg,167
27.0,boxes,Bakery,veg,314
15.4,liters,Other,nonveg,35
209.2,pieces,Packaged Food,nonveg,185
52.8,pieces,Other,nonveg,29
29.9,boxes,Packaged Food,nonveg,361
135.0,pieces,Produce,veg,29
19.7,boxes,Dairy,veg,180
11.7,liters,Cooked Meal,nonveg,20
15.3,pieces,Other,veg,6
117.7,plates,Cooked Meal,nonveg,123
33.6,kg,Other,veg,85
45.3,liters,Produce,nonveg,73
12.7,boxes,Packaged Food,nonveg,131
1.2,kg,Other,veg,4
17.3,kg,Packaged Food,nonveg,52
19.3,boxes,Produce,veg,142
253.1,pieces,Dairy,veg,125
28.2,liters,Produce,veg,66
19.3,boxes,Produce,veg,130
26.7,boxes,Produce,veg,173
36.3,liters,Cooked Meal,veg,82
20.0,liters,Dairy,nonveg,77
145.2,plates,Packaged Food,nonveg,167
3.7,kg,Cooked Meal,nonveg,9
47.1,liters,Cooked Meal,nonveg,92
46.3,liters,Dairy,veg,197
45.5,kg,Other,nonveg,106
35.4,kg,Dairy,veg,149
139.6,pieces,Cooked Meal,veg,74
123.6,plates,Bakery,veg,165
40.4,liters,Dairy,veg,176
100.6,pieces,Packaged Food,nonveg,107
230.4,pieces,Bakery,veg,90
4.1,liters,Dairy,nonveg,15
134.4,pieces,Bakery,veg,64
5.9,kg,Dairy,veg,26
5.0,kg,Bakery,nonveg,12
35.6,liters,Cooked Meal,veg,72
7.0,boxes,Other,veg,53
126.5,pieces,Other,nonveg,67
109.0,plates,Cooked Meal,veg,102
18.0,kg,Dairy,nonveg,72
94.7,plates,Cooked Meal,veg,95
72.3,plates,Dairy,veg,89
40.0,liters,Cooked Meal,veg,83
6.1,boxes,Other,nonveg,44
66.8,pieces,Other,nonveg,30
17.8,pieces,Produce,nonveg,5
24.8,liters,Bakery,veg,36
36.3,kg,Cooked Meal,veg,83
234.8,pieces,Bakery,veg,88
12.6,liters,Produce,veg,23
29.7,kg,Bakery,nonveg,85
7.3,boxes,Cooked Meal,veg,55
36.3,liters,Produce,nonveg,64
64.7,pieces,Other,nonveg,34
37.8,pieces,Cooked Meal,veg,21
6.0,boxes,Packaged Food,nonveg,57
29.3,liters,Dairy,veg,142
21.2,liters,Dairy,veg,65
126.4,plates,Bakery,nonveg,135
37.1,kg,Produce,nonveg,68
45.8,liters,Dairy,veg,203
2.2,boxes,Cooked Meal,veg,14
14.9,boxes,Cooked Meal,nonveg,114
25.3,kg,Other,nonveg,68
4.8,boxes,Other,veg,42
1.8,liters,Produce,veg,3
146.6,plates,Packaged Food,veg,206
10.1,liters,Packaged Food,nonveg,31
19.9,kg,Other,veg,44
92.5,pieces,Other,veg,46
119.2,plates,Dairy,veg,126
111.7,plates,Cooked Meal,nonveg,131
37.7,pieces,Other,veg,21
11.6,boxes,Produce,veg,87
25.1,plates,Cooked Meal,veg,29
32.8,liters,Produce,veg,65
16.7,liters,Other,veg,33
45.2,plates,Produce,nonveg,46
73.2,plates,Packaged Food,veg,115
70.5,plates,Dairy,nonveg,74
44.7,kg,Other,veg,127
20.1,kg,Packaged Food,veg,80
14.5,kg,Cooked Meal,veg,46
8.4,liters,Other,nonveg,21
291.0,pieces,Cooked Meal,nonveg,172
18.0,liters,Dairy,nonveg,56
2.1,liters,Produce,veg,4
64.7,plates,Bakery,nonveg,65
14.3,boxes,Produce,nonveg,105
9.4,liters,Dairy,nonveg,34
18.3,kg,Produce,veg,42
35.9,liters,Packaged Food,veg,100
12.7,liters,Other,veg,42
135.1,pieces,Cooked Meal,veg,64
48.9,kg,Other,nonveg,119
164.3,pieces,Bakery,nonveg,64
23.3,boxes,Cooked Meal,nonveg,186
6.3,pieces,Packaged Food,veg,6
269.3,pieces,Produce,nonveg,50
17.6,liters,Dairy,nonveg,72
16.1,liters,Cooked Meal,veg,39
69.7,plates,Packaged Food,veg,108
39.3,liters,Other,veg,100
5.1,liters,Produce,veg,11
33.2,plates,Cooked Meal,nonveg,26
136.7,plates,Produce,veg,131
115.0,pieces,Packaged Food,nonveg,111
95.9,pieces,Produce,nonveg,23
24.3,boxes,Bakery,nonveg,235
36.7,liters,Produce,nonveg,54
11.2,kg,Dairy,veg,50
14.6,plates,Packaged Food,nonveg,24
32.3,kg,Cooked Meal,nonveg,71
17.1,boxes,Produce,veg,114
41.8,liters,Bakery,veg,67
11.1,plates,Produce,nonveg,11
7.5,boxes,Produce,nonveg,39
15.7,liters,Cooked Meal,nonveg,28
57.9,pieces,Cooked Meal,nonveg,23
6.8,liters,Other,veg,16
89.3,plates,Cooked Meal,nonveg,113
19.2,boxes,Dairy,nonveg,130
254.4,pieces,Cooked Meal,veg,131
26.2,plates,Bakery,veg,26
14.4,liters,Produce,veg,30
90.5,pieces,Packaged Food,veg,65
38.5,liters,Dairy,veg,146
43.7,liters,Dairy,nonveg,174
33.3,pieces,Produce,nonveg,8
8.8,pieces,Dairy,veg,4
27.7,boxes,Packaged Food,nonveg,302
8.6,kg,Bakery,veg,26
65.5,plates,Dairy,veg,92
46.2,kg,Cooked Meal,veg,104
44.6,liters,Produce,nonveg,83
30.0,plates,Dairy,nonveg,33
43.0,liters,Cooked Meal,veg,112
7.1,liters,Bakery,nonveg,13
1.9,kg,Other,veg,5
6.7,boxes,Packaged Food,veg,94
6.8,kg,Dairy,nonveg,26
15.8,kg,Produce,veg,33
90.2,plates,Cooked Meal,veg,91
2.4,liters,Bakery,nonveg,5
56.1,plates,Produce,nonveg,60
78.2,plates,Dairy,veg,122
108.8,plates,Cooked Meal,veg,119
48.7,liters,Produce,veg,104
21.2,boxes,Dairy,nonveg,184
6.2,boxes,Bakery,veg,58
64.1,plates,Bakery,veg,84
6.4,kg,Produce,nonveg,13
29.3,pieces,Other,veg,17
14.9,kg,Packaged Food,nonveg,44
15.2,liters,Packaged Food,nonveg,39
44.8,liters,Packaged Food,veg,147
49.9,liters,Produce,veg,73
22.5,kg,Packaged Food,nonveg,70
21.2,boxes,Bakery,nonveg,187
18.8,liters,Cooked Meal,veg,42
42.1,kg,Packaged Food,veg,159
23.2,boxes,Other,nonveg,174
14.8,boxes,Other,nonveg,91
15.8,boxes,Dairy,nonveg,141
151.7,pieces,Cooked Meal,nonveg,77
5.9,liters,Other,veg,15
19.7,kg,Other,veg,50
94.3,pieces,Other,veg,40
119.9,plates,Other,nonveg,95
149.6,pieces,Bakery,nonveg,55
143.1,plates,Dairy,veg,206
12.1,boxes,Cooked Meal,veg,92
9.7,kg,Packaged Food,veg,38
150.0,pieces,Other,veg,84
33.3,kg,Packaged Food,nonveg,122
74.0,plates,Other,nonveg,74
179.4,pieces,Packaged Food,nonveg,146
116.1,plates,Packaged Food,nonveg,159
42.0,kg,Dairy,veg,175
116.0,plates,Produce,veg,106
126.5,pieces,Packaged Food,nonveg,107
12.5,liters,Cooked Meal,veg,27
6.6,kg,Other,nonveg,16
2.8,kg,Bakery,nonveg,7
1.6,boxes,Dairy,nonveg,12
147.9,plates,Packaged Food,veg,203
5.9,kg,Dairy,nonveg,24
25.3,liters,Other,nonveg,62
57.7,plates,Bakery,nonveg,53
32.1,liters,Packaged Food,nonveg,93
14.0,liters,Dairy,nonveg,51
121.7,plates,Produce,nonveg,88
90.8,plates,Other,veg,71
21.9,kg,Produce,nonveg,39
67.8,plates,Produce,nonveg,65
127.2,pieces,Dairy,veg,64
132.7,plates,Other,veg,152
88.6,plates,Other,veg,95
28.2,boxes,Other,nonveg,270
140.5,plates,Dairy,nonveg,167
48.6,pieces,Bakery,nonveg,17
126.0,pieces,Bakery,nonveg,54
14.1,liters,Other,nonveg,26
34.7,liters,Produce,nonveg,64
13.0,liters,Bakery,veg,28
17.2,boxes,Produce,nonveg,93
14.4,liters,Cooked Meal,veg,34
199.3,pieces,Cooked Meal,nonveg,101
2.6,boxes,Other,veg,25
260.8,pieces,Cooked Meal,nonveg,132
47.2,kg,Produce,nonveg,81
6.5,liters,Other,veg,16
77.0,plates,Dairy,nonveg,67
38.9,liters,Cooked Meal,veg,78
28.1,boxes,Other,veg,272
9.6,liters,Bakery,veg,22
76.1,plates,Produce,veg,74
27.7,kg,Produce,nonveg,46
24.3,liters,Produce,nonveg,45
195.4,pieces,Produce,veg,60
13.4,kg,Other,veg,33
271.4,pieces,Packaged Food,nonveg,235
1.2,boxes,Bakery,nonveg,10
31.6,pieces,Packaged Food,nonveg,30
31.9,liters,Bakery,nonveg,54
8.9,boxes,Other,veg,84
27.9,boxes,Packaged Food,nonveg,339
24.9,boxes,Produce,veg,166
14.1,boxes,Produce,nonveg,79
31.9,kg,Cooked Meal,veg,81
16.4,liters,Packaged Food,nonveg,42
13.2,kg,Cooked Meal,veg,31
39.8,liters,Other,nonveg,73
26.3,boxes,Produce,nonveg,178
63.6,pieces,Dairy,nonveg,31
121.1,pieces,Packaged Food,veg,101
47.5,liters,Dairy,veg,220
136.5,plates,Dairy,veg,191
20.7,liters,Other,veg,51
26.6,plates,Packaged Food,nonveg,39
36.2,kg,Dairy,veg,142
4.4,boxes,Packaged Food,nonveg,48
117.7,pieces,Produce,nonveg,30
49.8,liters,Packaged Food,veg,144
39.8,liters,Packaged Food,nonveg,129
74.5,pieces,Cooked Meal,nonveg,31
1.3,boxes,Dairy,veg,12
207.6,pieces,Bakery,nonveg,73
15.6,plates,Other,nonveg,12
17.3,kg,Dairy,veg,71
5.8,plates,Dairy,veg,10
48.9,plates,Dairy,nonveg,53
13.8,kg,Dairy,veg,59
26.5,boxes,Dairy,nonveg,235
8.6,boxes,Dairy,veg,83
25.5,kg,Produce,veg,56
27.2,boxes,Produce,nonveg,172
80.0,plates,Produce,nonveg,69
17.1,boxes,Other,veg,141
6.5,boxes,Other,veg,56
213.3,pieces,Packaged Food,veg,219
3.0,kg,Packaged Food,nonveg,9
4.3,boxes,Packaged Food,nonveg,54
18.1,liters,Other,veg,47
86.7,plates,Bakery,nonveg,105
89.6,plates,Other,veg,103
46.1,liters,Dairy,nonveg,165
26.7,boxes,Bakery,veg,315
